poco
alquanto
vario
diverso
parecchio
tanto
altrettanto
molto
troppo
poca
alquanta
varia
diversa
parecchia
tanta
altrettanta
molta
troppa
pochi
alquanti
vari
diversi
parecchi
tanti
altrettanti
molti
troppi
poche
alquante
varie
diverse
parecchie
tante
altrettante
molte
troppe
tutto
nessuno
alcuno
tutta
nessuna
alcuna
tutti
tutte
alcuni
alcune
ogni
qualche
ciascuno
certo
tale
altro
ciascuna
certa
altra
certi
tali
taluni
altri
certe
talune
altre
qualunque
qualsiasi
qualsivoglia
