uno
due
tre
quattro
cinque
sei
sette
otto
nove
dieci
undici
dodici
tredici
quattordici
quindici
sedici
diciassette
diciotto
diciannove
venti
ventuno
ventidue
ventitr�
ventiquattro
venticinque
ventisei
ventisette
ventotto
ventinove
trenta
trentuno
trentadue
trentatr�
trentaquattro
trentacinque
trentasei
trentasette
trentotto
trentanove
quaranta
quarantuno
quarantadue
quarantatr�
quarantaquattro
quarantacinque
quarantasei
quarantasette
quarantotto
quarantanove
cinquanta
cento
centouno
centodue
centootto
centodieci
centoundici
centodiciotto
centoventi
centoventitr�
centotrenta
duecento
duecentouno
ducentootto
duecentodieci
duecentoventi
duecentotrenta
trecento
quattrocento
cinquecento
seicento
settecento
ottocento
novecento
mille
duemile
diecimila
ventimila
centomila
duecentomile
un milione
due milioni
un miliardo
due miliardi
primo
secondo
terzo
quarto
quinto
sesto
settimo
ottavo
nono
decimo
undicesimo
dodicesimo
tredicesimo
quattordicesimo
quindicesimo
sedicesimo
diciassettesimo
diciottesimo
diciannovesimo
ventesimo
ventunesimo
ventiduesimo
ventitreesimo
ventiquattresimo
venticinquesimo
ventiseiesimo
ventisettesimo
ventottesimo
ventinovesimo
trentesimo
quarantesimo
cinquantesimo
sessantesimo
settantesimo
ottantesimo
novantesimo
centesimo
centounesimo
centoduesimo
duecentesimo
trecentesimo
quattrocentesimo
cinquecentesimo
seicentesimo
settecentesimo
ottocentesimo
novecentesimo
millesimo
duemillesimo
tremillesimo
milionesimo
